Behavior,Scale,SampEn
Following,1,0.3012215639967364
Following,2,0.5136460842076349
Following,3,0.6233682231271577
Following,4,0.4884692875370257
Following,5,0.41712284319703646
Lane-change,1,0.44250033945400297
Lane-change,2,0.6802550148686529
Lane-change,3,0.5368289886591296
Lane-change,4,0.2731299414831293
Lane-change,5,0.1754216731276155
Hard-brake,1,0.5288254321303135
Hard-brake,2,0.6340916124797691
Hard-brake,3,0.532053267402861
Hard-brake,4,0.24426772686425272
Hard-brake,5,0.20190545504718171
