Behavior,Scale,SampEn
Following,1,0.2648657152669711
Following,2,0.5094340645559418
Following,3,0.6589409412608117
Following,4,0.5912819192291923
Following,5,0.5210042750582488
Lane-change,1,0.36436284832692345
Lane-change,2,0.6148709535564546
Lane-change,3,0.5296247493732944
Lane-change,4,0.3937736662440263
Lane-change,5,0.3129383476344002
Hard-brake,1,0.5862964106832155
Hard-brake,2,0.5908258057836641
Hard-brake,3,0.472664174977268
Hard-brake,4,0.24901841606153724
Hard-brake,5,0.19048423834591713
